Epson,"Компьютеры,Оргтехника и расходные материалы,Принтеры и МФУ",02930,8249,KZT,1500259,Epson L132,5,120,1,98981,98981,https://kaspi.kz/shop/p/epson-l132-1500259/?c=710000000,1,2016-06-08T09:57:20.767Z,piece,Epson L132,false,true,https://kaspi.kz/shop/p/epson-l132-1500259/?c=750000000,98 981 ₸,,"[object Object],[object Object],[object Object],[object Object]",[object Object],https://kaspi.kz/shop/p/epson-l132-1500259/?c=750000000&tab=reviews,2.7,[object Object],9,120,0,,EXPRESS,L132,"Categories,Office equipment and consumables,MF printers,Computers","[object Object],[object Object]",,750000000,
HP,"Компьютеры,Оргтехника и расходные материалы,Принтеры и МФУ",02930,6659,KZT,104527535,МФУ HP M141A 7MD73A,5,14,1,79900,79900,https://kaspi.kz/shop/p/mfu-hp-m141a-7md73a-104527535/?c=710000000,1,2022-04-20T05:00:47.966Z,piece,МФУ HP M141A 7MD73A,false,true,https://kaspi.kz/shop/p/mfu-hp-m141a-7md73a-104527535/?c=750000000,79 900 ₸,,"[object Object],[object Object],[object Object]",[object Object],https://kaspi.kz/shop/p/mfu-hp-m141a-7md73a-104527535/?c=750000000&tab=reviews,6.84,[object Object],10,14,0,,EXPRESS,M141A (7MD73A),"Categories,Office equipment and consumables,MF printers,Computers","[object Object],[object Object]",,750000000,
HP,"Компьютеры,Оргтехника и расходные материалы,Принтеры и МФУ",02930,7834,KZT,1500433,HP Ink Tank 115 черный,5,13,1,94000,94000,https://kaspi.kz/shop/p/hp-ink-tank-115-chernyi-1500433/?c=710000000,1,2018-11-05T04:44:36.163Z,piece,HP Ink Tank 115 черный,false,true,https://kaspi.kz/shop/p/hp-ink-tank-115-chernyi-1500433/?c=750000000,94 000 ₸,,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],https://kaspi.kz/shop/p/hp-ink-tank-115-chernyi-1500433/?c=750000000&tab=reviews,0,[object Object],10,13,0,,TODAY,Ink Tank 115,"Categories,Office equipment and consumables,MF printers,Computers","[object Object],[object Object]",,750000000,
HP,"Компьютеры,Оргтехника и расходные материалы,Принтеры и МФУ",02930,5832,KZT,1500475,HP Laser 107w 4ZB78A,5,55,1,69980,69980,https://kaspi.kz/shop/p/hp-laser-107w-4zb78a-1500475/?c=710000000,1,2019-09-14T13:31:04.991Z,piece,HP Laser 107w 4ZB78A,false,true,https://kaspi.kz/shop/p/hp-laser-107w-4zb78a-1500475/?c=750000000,69 980 ₸,,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],https://kaspi.kz/shop/p/hp-laser-107w-4zb78a-1500475/?c=750000000&tab=reviews,5.7,[object Object],10,55,0,,TOMORROW,Laser 107w 4ZB78A,"Categories,Office equipment and consumables,MF printers,Computers","[object Object],[object Object]",,750000000,
Epson,"Компьютеры,Оргтехника и расходные материалы,Принтеры и МФУ",02930,10821,KZT,1600593,МФУ Epson L3101,5,92,1,129850,129850,https://kaspi.kz/shop/p/mfu-epson-l3101-1600593/?c=710000000,1,2019-03-14T11:43:52.168Z,piece,МФУ Epson L3101,false,true,https://kaspi.kz/shop/p/mfu-epson-l3101-1600593/?c=750000000,129 850 ₸,,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],https://kaspi.kz/shop/p/mfu-epson-l3101-1600593/?c=750000000&tab=reviews,3.9,[object Object],10,92,0,,TOMORROW,L3101,"Categories,Office equipment and consumables,MF printers,Computers","[object Object],[object Object]",,750000000,
Epson,"Компьютеры,Оргтехника и расходные материалы,Принтеры и МФУ",02930,12684,KZT,1600587,МФУ Epson L3150,5,286,1,152200,152200,https://kaspi.kz/shop/p/mfu-epson-l3150-1600587/?c=710000000,1,2019-02-22T06:05:32.710Z,piece,МФУ Epson L3150,false,true,https://kaspi.kz/shop/p/mfu-epson-l3150-1600587/?c=750000000,152 200 ₸,,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],https://kaspi.kz/shop/p/mfu-epson-l3150-1600587/?c=750000000&tab=reviews,5.65,[object Object],9,286,0,,TILL_2_DAYS,L3150,"Categories,Office equipment and consumables,MF printers,Computers","[object Object],[object Object]",,750000000,
Epson,"Компьютеры,Оргтехника и расходные материалы,Принтеры и МФУ",02930,12000,KZT,1600585,МФУ Epson L3151 C11CG86411,5,93,1,143990,143990,https://kaspi.kz/shop/p/mfu-epson-l3151-c11cg86411-1600585/?c=710000000,1,2019-02-11T13:36:39.191Z,piece,МФУ Epson L3151 C11CG86411,false,true,https://kaspi.kz/shop/p/mfu-epson-l3151-c11cg86411-1600585/?c=750000000,143 990 ₸,,"[object Object],[object Object],[object Object],[object Object]",[object Object],https://kaspi.kz/shop/p/mfu-epson-l3151-c11cg86411-1600585/?c=750000000&tab=reviews,0,[object Object],10,93,0,,EXPRESS,L3151 C11CG86411,"Categories,Office equipment and consumables,MF printers,Computers","[object Object],[object Object]",,750000000,
Epson,"Компьютеры,Оргтехника и расходные материалы,Принтеры и МФУ",02930,10542,KZT,106834046,МФУ Epson L3256,5,8,1,126500,126500,https://kaspi.kz/shop/p/mfu-epson-l3256-106834046/?c=710000000,1,2022-10-13T06:18:52.327Z,piece,МФУ Epson L3256,false,true,https://kaspi.kz/shop/p/mfu-epson-l3256-106834046/?c=750000000,126 500 ₸,,"[object Object],[object Object],[object Object],[object Object]",[object Object],https://kaspi.kz/shop/p/mfu-epson-l3256-106834046/?c=750000000&tab=reviews,0,[object Object],10,8,0,,EXPRESS,L3256,"Categories,Office equipment and consumables,MF printers,Computers","[object Object],[object Object]",,750000000,
Canon,"Компьютеры,Оргтехника и расходные материалы,Принтеры и МФУ",02930,12500,KZT,1600002,МФУ Canon i-SENSYS MF3010,5,127,1,150000,150000,https://kaspi.kz/shop/p/mfu-canon-i-sensys-mf3010-1600002/?c=710000000,1,2014-11-20T19:22:13.386Z,piece,МФУ Canon i-SENSYS MF3010,false,true,https://kaspi.kz/shop/p/mfu-canon-i-sensys-mf3010-1600002/?c=750000000,150 000 ₸,,"[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],https://kaspi.kz/shop/p/mfu-canon-i-sensys-mf3010-1600002/?c=750000000&tab=reviews,10.7,[object Object],10,127,0,,TOMORROW,i-SENSYS MF3010,"Categories,Office equipment and consumables,MF printers,Computers","[object Object],[object Object]",,750000000,
Canon,"Компьютеры,Оргтехника и расходные материалы,Принтеры и МФУ",02930,8333,KZT,1600576,МФУ Canon PIXMA G3415,5,25,1,99990,99990,https://kaspi.kz/shop/p/mfu-canon-pixma-g3415-1600576/?c=710000000,1,2018-10-26T11:03:00.781Z,piece,МФУ Canon PIXMA G3415,false,true,https://kaspi.kz/shop/p/mfu-canon-pixma-g3415-1600576/?c=750000000,99 990 ₸,,"[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],https://kaspi.kz/shop/p/mfu-canon-pixma-g3415-1600576/?c=750000000&tab=reviews,6.3,[object Object],10,25,0,,TILL_5_DAYS,PIXMA G3415,"Categories,Office equipment and consumables,MF printers,Computers","[object Object],[object Object]",,750000000,
