"Код","Артикул","Наименование","Полное наименование","Цена дил.","Цена роз.","Статус","Остаток","Заказ"
"Мобильные телефоны и аксессуары","","","","","","","",""
"Мобильные телефоны","","","","","","","",""
"50383","22120RN86G","Мобильный телефон Redmi 12C 4GB RAM 128GB ROM Graphite Gray","Мобильный телефон, Redmi, 12C 128GB, 4GB, 6.71"", Android MIUI, Helio G85, Mali-G52 MP2, Камера 50MPx+QVGA, 5 Мп, 1650 x 720, Bluetooth 5.0, 5000 мАч, Nano-SIM x2 + Micro SD (2 +1), (Graphite Gray) Серый","68000","79990","",">50",""
"50385","22120RN86G","Мобильный телефон Redmi 12C 4GB RAM 128GB ROM Mint Green","Мобильный телефон, Redmi, 12C 128GB, 4GB, 6.71"", Android MIUI, Helio G85, Mali-G52 MP2, Камера 50MPx+QVGA, 5 Мп, 1650 x 720, Bluetooth 5.0, 5000 мАч, Nano-SIM x2 + Micro SD (2 +1), (Mint Green) Зелёный","68000","79990","","5",""
"50436","22120RN86G","Мобильный телефон Redmi 12C 4GB RAM 128GB ROM Ocean Blue","Мобильный телефон, Redmi, 12C 128GB, 4GB, 6.71"", Android MIUI, Helio G85, Mali-G52 MP2, Камера 50MPx+QVGA, 5 Мп, 1650 x 720, Bluetooth 5.0, 5000 мАч, Nano-SIM x2 + Micro SD (2 +1), (Ocean Blue) Синий","68000","79990","",">50",""
"51376","22120RN86G","Мобильный телефон Redmi 12C 4GB RAM 128GB ROM Lavender Purple","Мобильный телефон, Redmi, 12C 128GB, 4GB, 6.71"", Android MIUI, Helio G85, Mali-G52 MP2, Камера 50MPx+QVGA, 5 Мп, 1650 x 720, Bluetooth 5.0, 5000 мАч, Nano-SIM x2 + Micro SD (2 +1), (Lavender Purple) Фиолетовый","68000","79990","",">50",""
"43180","21121119SG","Мобильный телефон Redmi 10 2022 4GB RAM 64GB ROM Carbon Gray","Мобильный телефон, Redmi, 10 2022 64GB, 4GB, 6.5"", Android MIUI, Helio G88, Mali-G52 MC2, Камера 50 Мп, 8 Мп, 2400 x 1080, Bluetooth 5.1, 5000 мАч, (Carbon Gray) Серый","74970","69990","",">50",""
"43182","21121119SG","Мобильный телефон Redmi 10 2022 4GB RAM 64GB ROM Pebble White","Мобильный телефон, Redmi, 10 2022 64GB, 4GB, 6.5"", Android MIUI, Helio G88, Mali-G52 MC2, Камера 50 Мп, 8 Мп, 2400 x 1080, Bluetooth 5.1, 5000 мАч, (Pebble White) Белый","74970","69990","",">50",""
"43183","21121119SG","Мобильный телефон Redmi 10 2022 4GB RAM 64GB ROM Sea Blue","Мобильный телефон, Redmi, 10 2022 64GB, 4GB, 6.5"", Android MIUI, Helio G88, Mali-G52 MC2, Камера 50 Мп, 8 Мп, 2400 x 1080, Bluetooth 5.1, 5000 мАч, (Sea Blue) Синий","74970","69990","",">50",""
"43184","21121119SG","Мобильный телефон Redmi 10 2022 4GB RAM 128GB ROM Carbon Gray","Мобильный телефон, Redmi, 10 2022 128GB, 4GB, 6.5"", Android MIUI, Helio G88, Mali-G52 MC2, Камера 50 Мп, 8 Мп, 2400 x 1080, Bluetooth 5.1, 5000 мАч, (Carbon Gray) Серый","83200","79990","",">50",""
"43185","21121119SG","Мобильный телефон Redmi 10 2022 4GB RAM 128GB ROM Pebble White","Мобильный телефон, Redmi, 10 2022 128GB, 4GB, 6.5"", Android MIUI, Helio G88, Mali-G52 MC2, Камера 50 Мп, 8 Мп, 2400 x 1080, Bluetooth 5.1, 5000 мАч, (Pebble White) Белый","83200","79990","",">50",""
"43186","21121119SG","Мобильный телефон Redmi 10 2022 4GB RAM 128GB ROM Sea Blue","Мобильный телефон, Redmi, 10 2022 128GB, 4GB, 6.5"", Android MIUI, Helio G88, Mali-G52 MC2, Камера 50 Мп, 8 Мп, 2400 x 1080, Bluetooth 5.1, 5000 мАч, (Sea Blue) Синий","83200","79990","",">50",""
